"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030729,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030805,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030805,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030805,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030814,83.3,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030814,83.3,"NZEREKORE",-8.3,7.75,"M"
2004,"Battles","LURD: Liberians for Reconciliation and Democracy","LURD: Liberians for Reconciliation and Democracy (Junta supporting Janneh and not Conneh)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20040803,83.3,"NZEREKORE",-8.3,7.75,"M"
2004,"Battles","LURD: Liberians for Reconciliation and Democracy","LURD: Liberians for Reconciliation and Democracy (Junta supporting Janneh and not Conneh)","Liberia","Montserrado","Bushrod Island",6.34,-10.77,618490,20040803,83.3,"NZEREKORE",-8.3,7.75,"M"
1998,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Liberia)","Liberia","River Cess County","River Cess",5.46,-9.57,655920,19980716,83.5,"TABOU",-7.36,4.41,"M"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030813,83.5,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030813,83.5,"NZEREKORE",-8.3,7.75,"M"
2004,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Foreign)","Liberia","Bong","Bong Mine",6.99,-9.47,618490,20040521,83.5,"NZEREKORE",-8.3,7.75,"M"
2008,"Riots","Protesters","Police Forces of Liberia (2005-)","Liberia","Maryland","Harper",4.38,-7.71,655920,20080607,83.5,"TABOU",-7.36,4.41,"M"
2002,"Riots","Military Forces of Liberia (1997-2003)","Protesters (Liberia)","Liberia","Maryland","Kaloke",4.8,-7.73,618490,20021025,83.69,"NZEREKORE",-8.3,7.75,"M"
2002,"Riots","Protesters","Police Forces of Liberia (2003-2005)","Liberia","Maryland","Kaloke",4.8,-7.73,618490,20021025,83.69,"NZEREKORE",-8.3,7.75,"M"
2004,"Riots","Police Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Mamou","Pita",11.08,-12.39,618090,20041105,83.69,"LABE",-12.3,11.31,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Kindia","Monkourou",9.1,-13.19,618320,20000918,83.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Bong","Totota",6.8,-9.93,618490,20030901,83.8,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","ECOMOG: Economic Community of West African States Monitoring Group (Liberia)","Liberia","Bong","Totota",6.8,-9.93,618490,20030901,83.8,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Bong","Gbatala",6.88,-9.68,618490,20030901,83.8,"NZEREKORE",-8.3,7.75,"M"
2006,"Battles","Armed Men Ex-Liberian Forces (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,618490,20060514,83.8,"NZEREKORE",-8.3,7.75,"M"
2007,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Macenta",8.55,-9.47,618490,20070430,83.8,"NZEREKORE",-8.3,7.75,"M"
2007,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Nzerekore",7.74,-8.82,618490,20070430,83.8,"NZEREKORE",-8.3,7.75,"M"
2009,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090831,83.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1998,"Battles","ECOMOG: Economic Community of West African States Monitoring Group (Liberia)","RUF: Revolutionary United Front of Sierra Leone","Liberia","Lofa County","Kolahun",8.28,-10.08,655480,19980713,84,"MAN",-7.51,7.38,"M"
1998,"Violence against civilians","Military Forces of Liberia (1989-2003)","Civilians (Liberia)","Liberia","Grand Gedeh","Zwedru",6.07,-8.13,655480,19980713,84,"MAN",-7.51,7.38,"M"
1999,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Mola",9.31,-12.92,618180,19990618,84.19,"KINDIA",-12.86,10.05,"M"
1999,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Malifou",9.27,-12.89,618180,19990618,84.19,"KINDIA",-12.86,10.05,"M"
2000,"Riots","Rioters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Mamou","Mamou",10.38,-12.07,618200,20000627,84.19,"MAMOU",-12.08,10.36,"M"
2000,"Riots","Rioters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Mamou","Mamou",10.38,-12.07,618200,20000627,84.19,"MAMOU",-12.08,10.36,"M"
2000,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Mamou","Mamou",10.38,-12.07,618200,20000627,84.19,"MAMOU",-12.08,10.36,"M"
2000,"Riots","Rioters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Kindia","Fria",10.44,-13.52,618320,20000628,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Unidentified Armed Group (Sierra Leone)","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20000907,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20000907,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20000913,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Bramaia",10.47,-13.47,618320,20000917,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Khorera",10.97,-14.3,618320,20001002,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Unidentified Armed Group (Sierra Leone)","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Melikoure",9.22,-13.03,618320,20001002,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Military Forces of Guinea (1984-2008)","Civilians (Guinea)","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001002,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Dulee",7.48,-8.43,618490,20001120,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Kambia","Kukuna",8.98,-12.73,618320,20010105,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Salayea",7.61,-9.5,618490,20010425,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.77,-9.43,618490,20010425,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Zorzor",7.77,-9.43,618490,20010425,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.77,-9.43,618490,20010425,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Kolahun",8.28,-10.08,618340,20010820,84.19,"KISSIDOUGOU",-10.13,9.41,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Balorma",7.57,-9.97,655480,20011126,84.19,"MAN",-7.51,7.38,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Fassamah",7.52,-9.99,655480,20011126,84.19,"MAN",-7.51,7.38,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Gbopolu",7.91,-10,655480,20011126,84.19,"MAN",-7.51,7.38,"M"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Bopolu",7.06,-10.48,655480,20011126,84.19,"MAN",-7.51,7.38,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Belle Fassamah",7.52,-9.99,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Weasua",7.31,-10.5,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Weasua",7.32,-10.51,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Sawmill",7.55,-8.56,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Sawmill",7.55,-8.56,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Kungboh",7.64,-10.57,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Gbapolu","Kungboh",7.64,-10.57,618490,20011213,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Sawmill",7.55,-8.56,618490,20020105,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Bomi County","Tubmanburg",6.87,-10.82,618490,20020105,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Foya",8.27,-10.31,618490,20020604,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020729,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Bopolu",7.06,-10.48,618490,20020729,84.19,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Voinjama",8.42,-9.75,618340,20020802,84.19,"KISSIDOUGOU",-10.13,9.41,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618180,20021009,84.19,"KINDIA",-12.86,10.05,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Kolahun",8.28,-10.08,618180,20021009,84.19,"KINDIA",-12.86,10.05,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Grand Cape Mount","Wiedju",7.16,-10.91,618560,20030129,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Bomi County","Blama Gogo",6.48,-10.86,618560,20030215,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030607,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Riots","Rioters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Kankan","Koya",11.86,-10.85,618090,20030607,84.19,"LABE",-12.3,11.31,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618560,20030621,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618560,20030621,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Riots","Protesters","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030704,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030722,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030722,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030722,84.19,"LUNGI",-13.19,8.61,"M"
2003,"Battles","Gio and Mano Tribesmen (Pro-Taylor Militia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030811,84.19,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Gio and Mano Tribesmen (Pro-Taylor Militia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030811,84.19,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20030829,84.19,"NZEREKORE",-8.3,7.75,"M"
2004,"Battles","MODEL: Movement for Democracy in Liberia","UNMIL: United Nations Mission in Liberia","Liberia","Nimba","Tappita",6.49,-8.86,618490,20040531,84.19,"NZEREKORE",-8.3,7.75,"M"
2004,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Nimba","Tappita",6.49,-8.86,618490,20040531,84.19,"NZEREKORE",-8.3,7.75,"M"
2004,"Riots","","UFDG: Union of Democratic Forces of Guinea","Guinea","Conakry","Conakry",9.5,-13.71,618320,20040918,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2004,"Riots","Police Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20040918,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2005,"Violence against civilians","Civilians (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20050810,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2005,"Riots","CDC supporters","","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20050822,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Violence against civilians","Police Forces of Liberia (2005-)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20060417,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Riots","Protesters","Police Forces of Liberia (2005-)","Liberia","Bong","Monrovia",6.67,-9.67,656600,20060705,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Violence against civilians","Gio and Mano Tribesmen (Pro-Taylor Militia)","Civilians (Liberia)","Liberia","Nimba","Nimba",7.48,-8.56,618490,20060816,84.19,"NZEREKORE",-8.3,7.75,"M"
2007,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20070102,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2008,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Kakata",6.59,-10.47,618560,20080612,84.19,"LUNGI",-13.19,8.61,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080616,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080617,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Violence against civilians","Unidentified Armed Group (Gambia)","Civilians (Gambia)","Gambia","Banjul","Banjul",13.45,-16.57,617010,20080701,84.19,"BANJUL/YUNDUM",-16.63,13.19,"C"
2008,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Elwa",6.23,-10.68,618560,20080712,84.19,"LUNGI",-13.19,8.61,"M"
2008,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20080906,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2008,"Riots","Protesters","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Harbel",6.28,-10.35,656600,20080924,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2009,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090130,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Civilians (Guinea)","Presidential Guard (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090721,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Riots","","Protesters (Guinea)","Guinea","Boke","Kamsar",10.66,-14.6,618320,20090824,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Riots","Military Forces of Guinea (2008-)","Protesters (Guinea)","Guinea","Boke","Kamsar",10.66,-14.6,618320,20090824,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Riots","Rioters (Guinea)","Police Forces of Guinea (2008-)","Guinea","Boke","Kamsar",10.67,-14.6,618320,20090824,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Battles","Unidentified Armed Group (Liberia)","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20090924,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2009,"Battles","UN Mission in Liberia (UNMIL)","Unidentified Armed Group (Liberia)","Liberia","Montserrado","Paynesville in Monrovia",6.27,-10.71,656600,20090924,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2009,"Riots","Protesters (Guinea)","Military Forces of Guinea (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090928,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Riots","Rioters (Guinea)","Police Forces of Guinea (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090928,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","ULIMO: United Liberation Movement for Democracy (1991-1994)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090928,84.19,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Battles","Unidentified Armed Group (Liberia)","UP: Unity Party (Liberia)","Liberia","Montserrado","Kakata",6.59,-10.47,656600,20091101,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
2009,"Violence against civilians","Civilians (Liberia)","Unidentified Armed Group (Liberia)","Liberia","Montserrado","Kakata",6.6,-10.47,656600,20091101,84.19,"ROBERTS FIELD",-10.35,6.25,"M"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Grand Gedeh","Sako",5.28,-7.53,655920,19990814,84.4,"TABOU",-7.36,4.41,"M"
2000,"Violence against civilians","Civilians (Guinea)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Kolakoura",10.14,-13.63,618320,20000904,84.59,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Civilians (Guinea)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Dakagbe",9.06,-13.1,618320,20000904,84.59,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090805,84.59,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Civilians (Guinea)","Military Forces of Guinea (2008-)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090805,84.59,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Grand Bassa","Buchanan",5.88,-10.04,655920,20030529,84.9,"TABOU",-7.36,4.41,"M"
1998,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Liberia)","Liberia","Montserrado","Harbel",6.28,-10.35,655480,19980716,85.09,"MAN",-7.51,7.38,"M"
1999,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","","Tassin",9.36,-12.75,618180,19990602,85.09,"KINDIA",-12.86,10.05,"M"
1999,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Kindia","Mola",9.31,-12.92,618180,19990602,85.09,"KINDIA",-12.86,10.05,"M"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Konju",8.47,-10.27,618330,19990810,85.09,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Mendekoma",8.46,-10.27,618330,19990810,85.09,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Battles","Military Forces of Liberia (1997-2003)","JFLL: Joint Forces for the Liberation of Liberia","Liberia","Lofa County","Mendekoma",8.46,-10.27,618330,19990812,85.09,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Vahun",8.06,-10.5,618330,19990812,85.09,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Battles","JFLL: Joint Forces for the Liberation of Liberia","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Vahun",8.06,-10.5,618330,19990812,85.09,"FARANAH/BADALA",-10.75,10.03,"M"
2000,"Riots","Rioters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20000622,85.09,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20000713,85.09,"NZEREKORE",-8.3,7.75,"M"
2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Voinjama",8.42,-9.76,618490,20000713,85.09,"NZEREKORE",-8.3,7.75,"M"
